feature,raw_value,standardized_value,coefficient,contribution,absolute_contribution,effect
systolic_bp,104.0,-1.3840295109435747,0.5566867530928831,-0.7704708946319095,0.7704708946319095,pushes risk lower
prior_admissions,2.0,1.3630503006601937,0.5526666327549185,0.7533124199414485,0.7533124199414485,pushes risk higher
comorbidity_count,3.0,1.6161584766221797,0.44155084243378717,0.7136161368590296,0.7136161368590296,pushes risk higher
length_of_stay,6.5,0.7549117610208691,0.38411270886536397,0.2899712014800483,0.2899712014800483,pushes risk higher
age,49.0,-0.26540077748388513,0.7355241360771108,-0.19520867757302812,0.19520867757302812,pushes risk lower
ldl,137.0,0.6665981269963961,0.21352189148335735,0.14233329293553373,0.14233329293553373,pushes risk higher
bmi,27.9,-0.03771435092066541,0.5083938107321493,-0.01917374258384663,0.01917374258384663,pushes risk lower
hba1c,6.2,-0.03905857676348868,0.3961104830913276,-0.015471511710645204,0.015471511710645204,pushes risk lower
