feature,raw_value,standardized_value,coefficient,contribution,absolute_contribution,effect
comorbidity_count,7.0,5.13178607915489,0.44155084243378717,2.265944466440823,2.265944466440823,pushes risk higher
prior_admissions,4.0,3.63896915130382,0.5526666327549185,2.0111368275501054,2.0111368275501054,pushes risk higher
length_of_stay,13.8,3.2838471258527573,0.38411270886536397,1.2613674150110423,1.2613674150110423,pushes risk higher
age,87.0,1.5459595288436305,0.7355241360771108,1.1370905468628885,1.1370905468628885,pushes risk higher
systolic_bp,148.0,1.017901065586689,0.5566867530928831,0.5666520391712396,0.5666520391712396,pushes risk higher
hba1c,7.4,1.0054793618257918,0.3961104830913276,0.3982809157511742,0.3982809157511742,pushes risk higher
ldl,158.0,1.3600174170068908,0.21352189148335735,0.2903934913296213,0.2903934913296213,pushes risk higher
bmi,29.9,0.31100767452697736,0.5083938107321493,0.15811437681971402,0.15811437681971402,pushes risk higher
