feature,raw_value,standardized_value,coefficient,contribution,absolute_contribution,effect
age,21.0,-1.6000873189883704,0.7355241360771108,-1.1769028429468615,1.1769028429468615,pushes risk lower
bmi,16.9,-1.9556854908827006,0.5083938107321493,-0.9942583993034302,0.9942583993034302,pushes risk lower
systolic_bp,100.0,-1.6023868360826896,0.5566867530928831,-0.8920275249776504,0.8920275249776504,pushes risk lower
prior_admissions,0.0,-0.9128685499834325,0.5526666327549185,-0.5045119876672086,0.5045119876672086,pushes risk lower
comorbidity_count,0.0,-1.0205622252773527,0.44155084243378717,-0.4506301103273156,0.4506301103273156,pushes risk lower
length_of_stay,1.0,-1.1504505001538405,0.38411270886536397,-0.44190265802960454,0.44190265802960454,pushes risk lower
hba1c,5.3,-0.8224620307054492,0.3961104830913276,-0.3257858323070098,0.3257858323070098,pushes risk lower
ldl,118.0,0.03921876936785318,0.21352189148335735,0.008374065817073565,0.008374065817073565,pushes risk higher
