feature,coefficient,absolute_importance,direction
age,0.7355241360771108,0.7355241360771108,increases risk
systolic_bp,0.5566867530928831,0.5566867530928831,increases risk
prior_admissions,0.5526666327549185,0.5526666327549185,increases risk
bmi,0.5083938107321493,0.5083938107321493,increases risk
comorbidity_count,0.44155084243378717,0.44155084243378717,increases risk
hba1c,0.3961104830913276,0.3961104830913276,increases risk
length_of_stay,0.38411270886536397,0.38411270886536397,increases risk
ldl,0.21352189148335735,0.21352189148335735,increases risk
